Class,Std_Daily(%),Std_Weekly(%),Std_Monthly(%),Std_3Month(%),MeanHL_Daily(%),MeanHL_Weekly(%),MeanHL_Monthly(%),MeanHL_3Month(%)
Corporate Bonds,0.474447335047275,1.0542273209971644,2.058971021434753,3.432304995278005,0.4538402781893815,1.2897164960286687,2.8698936874743435,5.283580228532856
Equity - Large Cap,2.2685347199165546,4.951522351038572,10.275489978081726,17.257291545782625,2.769638018194578,7.36128230131601,16.70279862963858,34.06795487417607
Equity - Mega Cap,2.1315342453482082,4.622554269865585,8.926954735225861,15.981607501869808,2.3977454065772617,6.507535960682325,14.759513099848656,29.11514424094857
Equity - Mid Cap,2.973345545011599,6.49211837352327,13.127655549966857,23.33642871572422,3.8074077351476587,9.884224398566765,22.175272155037455,43.8919082021214
Equity Index,1.1889980550926178,2.432681252867071,4.63447703411093,7.597287440168439,1.2771557428122589,3.4662099476741894,7.723373298392323,14.452066977819552
FX EM,1.0727529712105253,2.126334953880729,4.49011534881543,8.081442059764738,1.2667571476426203,3.0735572150044277,6.529030138020591,11.74620610873439
FX Major,0.5829194565278245,1.2412646814955932,2.3823719255423077,4.359980989462036,0.7647540457593119,1.9489508670640558,4.209499263617153,7.875472244536001
Government Bonds,0.42227349070002274,0.8800718046069804,1.7391052686983803,3.267677664000385,0.4039143031560702,1.2444423760033905,2.742713068707889,5.0142062287178195
