,V,DIS,NKE,ORCL,CAT,META,AAPL,AMZN,NFLX,MSFT,GOOG,HSY,STZ,ALGN,XEL,PPL,MAR,LVS,LEN,BBY,LUV,WING,FRPT,PEGA,OLED,XPO,TREX,MOS,OLLI,DKS,VIRT,JBLU
FRPT,0.3307338201080646,0.2884562109309332,0.2938150334735136,0.1838067521380683,0.2544018751125465,0.185911110274541,0.26562463590472424,0.31125458226751207,0.23715702925373783,0.29322152838591153,0.23875210886614734,0.1626913382511007,0.2675451010114806,0.2651979925712869,0.08994831534266494,0.1461452501010836,0.28849260223952844,0.195344849437614,0.2729777495762994,0.27833090605573274,0.2116901632661817,0.3680044010060937,1.0,0.2699664609478331,0.24664986318235424,0.27531494036018367,0.28339330702354,0.18737038313014423,0.21160509148873305,0.2446507624946941,0.1997399216325102,0.20346018610515926
PEGA,0.4676866504788957,0.36080894189388313,0.3236637389642149,0.34098464973869314,0.2714214958526423,0.3809981766122016,0.3729628365141785,0.42504263563741157,0.3404121709468577,0.44617191600847034,0.3658061351153796,0.07552688200982967,0.2917630931411675,0.356366325648603,0.15124438937909312,0.23975047708404412,0.4147595652966099,0.35718223972916835,0.3900143918799069,0.36385634735887235,0.33215282938796464,0.34386191551729844,0.2699664609478331,1.0,0.37844508057082943,0.3324850143129439,0.3809258604395599,0.22961946925490798,0.25700906752452496,0.3311464054518376,0.07910070574753061,0.3444786743914519
OLED,0.3924712520830518,0.36638794050081874,0.312545130389368,0.32014224383001344,0.3479025239473164,0.31892211545988014,0.4551534347878504,0.34527529163122683,0.2975202857804729,0.41723592323509706,0.3602893261782406,0.16001244036253548,0.2810804273599114,0.37039923218249365,0.15740339473460876,0.24153137019387844,0.3717608616235448,0.281419892849404,0.3710370426016865,0.32852011265798375,0.2932477355151611,0.32295148608557206,0.24664986318235424,0.37844508057082943,1.0,0.39116432745158924,0.34093075893623837,0.2606815839166237,0.2434383132195152,0.290809318697444,0.023567253993308817,0.3171387493391313
XPO,0.470563779489128,0.42721831355277257,0.3524063693054254,0.28510442472065606,0.47841626823530686,0.30642107116580614,0.3678352560897905,0.32112428933653275,0.2304578278048587,0.34934441010787864,0.37185322800238757,0.16603778339086797,0.3392952293887509,0.4573560673461621,0.17813809916764886,0.30910598319365695,0.531202837732132,0.39112547169275297,0.43509279070700346,0.38782912753572235,0.4463719495011096,0.33246521252472416,0.27531494036018367,0.3324850143129439,0.39116432745158924,1.0,0.4926741860254852,0.36627636239023437,0.28585448121224877,0.40780909376250235,0.06379391135755696,0.4142774009425709
TREX,0.43776985905886734,0.35564605877751426,0.4023632170127657,0.2481686340085461,0.3298632346529685,0.29078319279186277,0.3651864397296591,0.365392556770843,0.2578403869375662,0.3642235009344279,0.3337755247524766,0.16571156363357087,0.3800190581954808,0.4665877007497623,0.1917542594051816,0.2725881450628252,0.38153930205026837,0.27306454705551314,0.587431489933813,0.38768336210481424,0.29938859325601785,0.3724203827542523,0.28339330702354,0.3809258604395599,0.34093075893623837,0.4926741860254852,1.0,0.27799791384578915,0.26618617331564365,0.4056381528373775,0.08156292365467013,0.3113061886635404
MOS,0.2898113505946381,0.4071529950882848,0.23694285794169687,0.2204666809620933,0.5178273499119366,0.16792247669852897,0.19123069616120894,0.17146064107522527,0.1663628803235177,0.19139481521853502,0.20265941178256122,0.11091826758536946,0.31332947028859987,0.2990599644558526,0.1460194470825255,0.2629167063552488,0.4423606616681376,0.327077878080922,0.25934620685818793,0.30621342821516634,0.37699738099819513,0.14169778047997647,0.18737038313014423,0.22961946925490798,0.2606815839166237,0.36627636239023437,0.27799791384578915,1.0,0.1572402183443778,0.32870134656714917,0.12136003187937744,0.3445477871672392
OLLI,0.2789300139629706,0.23654810734799034,0.26967161773766324,0.20427458161361997,0.21913050373102916,0.2271458406031184,0.24130172031479574,0.24767538177271498,0.2025202728941406,0.2518436702108062,0.2527766041374488,0.12503039171336788,0.2693432249349813,0.23607749674146353,0.15508294942595904,0.18788746999679706,0.22042365339663297,0.1217951004800803,0.26244611906302695,0.3688675679816327,0.1398715689877482,0.3197624449915621,0.21160509148873305,0.25700906752452496,0.2434383132195152,0.28585448121224877,0.26618617331564365,0.1572402183443778,1.0,0.37968284035335675,0.05766264008638371,0.17838387082272014
DKS,0.3713774269051622,0.38494311270213966,0.463134140629894,0.2604995057372443,0.3312070461002194,0.25621810161552316,0.29200423598584296,0.22650358381047253,0.15607994110412,0.25572606293819644,0.286307944454853,0.2028015325928539,0.39416239948744203,0.3670985353296002,0.25995723814491584,0.39254057954166777,0.4351885503033359,0.31213789877597115,0.49634485382656035,0.5537676470013909,0.37208210251221213,0.31845295482048314,0.2446507624946941,0.3311464054518376,0.290809318697444,0.40780909376250235,0.4056381528373775,0.32870134656714917,0.37968284035335675,1.0,0.1271582493133084,0.4188305256406775
VIRT,0.11217043030849742,0.14940090914453566,0.07959933709232342,0.041098036023988656,0.15878744376038964,0.03687918157977705,0.06359221636515815,0.10130017002658401,0.1006676668054639,0.07529673055822204,0.024527912167827175,0.07706711105949614,0.13779873113378832,0.07884829973399388,0.11880293609167104,0.11083339491166032,0.07645603200899258,0.06638462381493171,0.14868468704790233,0.13815162784711074,0.09201990665612877,0.056306509639543284,0.1997399216325102,0.07910070574753061,0.023567253993308817,0.06379391135755696,0.08156292365467013,0.12136003187937744,0.05766264008638371,0.1271582493133084,1.0,0.10128289776829491
JBLU,0.45317536101650147,0.4764318490102062,0.3583578091938716,0.19925575446188185,0.3999756713429006,0.26748679287809823,0.3065558813071859,0.21962785848359948,0.19050733161620592,0.2631564034181275,0.2497946100131023,0.210374903568475,0.374889932089768,0.40784785637259174,0.22351558640680072,0.41600508990189144,0.5825471256756694,0.409899443588277,0.4315232959959966,0.41115277634409475,0.6894925440219678,0.2500809156840083,0.20346018610515926,0.3444786743914519,0.3171387493391313,0.4142774009425709,0.3113061886635404,0.3445477871672392,0.17838387082272014,0.4188305256406775,0.10128289776829491,1.0
